26902539	
22249484	22249484
26804235	
21397523	21397523
24608794	24608794
21856293	21856293
25919528	
19005482	19005482
26607661	
21921847	21921847
25493567	25493567
25493568	25493568
25493569	
16842817	
19890249	
15564877	
36143183	
15564880	15564880
15564883	
27099220	27099220
31653973	
19628119	19628119
28377187	
21561445	
24019055	24019055
14647407	14647407
14647408	14647408
25395315	25395315
26902643	
29098099	29098099
22052985	
24346747	24346747
23953533	23953533
27885697	
41025677	
16875663	
19300499	19300499
25002132	25002132
15630486	
28606620	
16580768	16580768
10223777	10223777
9797795	9797795
9797796	3033
39157928	39157928
11174059	11174059
21168310	21168310
21790903	21790903
21790905	21790905
29524157	
17563839	17563839
21692613	21692613
16875718	16875718
37781702	
21790926	21790926
11337938	11337938
29065426	29065426
28836054	28836054
11337943	11337943
36110554	
3571939	3571939
37454061	
23429358	23429358
28639471	
24510702	24510702
38076663	
21692664	21692664
28639487	
28639488	28639488
29393157	
28639493	
9109770	9109770
38994198	
20054294	20054294
39092502	
24510746	24510746
21987611	
27001118	27001118
27001119	27001119
27001120	27001120
12222750	
16580898	16580898
11927842	11927842
16580900	16580900
24215845	24215845
16580902	16580902
29229354	
15565110	15565110
33915198	
9732415	
16515395	16515395
23494984	23494984
21692745	
21430602	21430602
25329996	
10027340	10027340
21922127	
21332310	21332309
12386647	12386647
21332312	
11207001	11207001
32112986	
21332314	
27885916	
27885915	
21332319	21332319
24052064	24052064
39453028	
7438695	7438695
26968424	26968424
38076777	
17989996	
21528942	21528942
17367411	792091
36503926	
21430647	21430647
37454203	
11207035	11207035
29852030	29852030
38797695	
21430657	
31654273	
21102981	21102981
18055561	18055561
12190096	12190096
23167378	
38896022	
24117654	24117654
28246425	
21692828	21692828
19661214	19661214
24117666	24117666
25592234	25592234
26804652	
25428396	
29196725	
15729081	15729081
19628476	19628476
34406845	
11338173	11338173
24019397	24019397
21037509	21037509
26608082	
36798930	
16679388	16679388
20513247	20513248
32080354	
32342502	
20447721	20447721
27427311	
15565299	15565299
7471604	7471604
37061107	
30048756	
16581111	16581111
25461246	
25461247	25461247
25461249	25461249
21266946	
17400324	17400324
19825159	19825159
35389962	
31588879	31588879
24576527	24576527
21398039	21398039
30704156	30704156
15729180	15729180
28115488	
28049954	
25428516	
35947050	35947050
23757359	23757359
23757361	23757361
26313268	
40665658	
38568509	
29459008	
11207233	11207233
27099716	
37749323	37749323
29327948	29327948
19530321	19530321
16876132	4914875
23855716	23855716
29327975	
26739304	
34079337	
40632937	
16450155	16450155
6488689	
29196917	
26935927	
25330300	25330300
28181117	
39846525	39846525
22348415	22348415
16417409	16417409
16024198	16024198
22348435	1031
26083990	
29950617	
21070507	21070507
25658027	
18023090	18023090
19268276	19268276
19628728	19628728
26968770	
18580170	18580170
15467211	
